size        	pev	         	         	 	               quotient							complex	edo
category    	     	   2     	   3     	 	                      n	/	d                      	cents          	name	name
mediumDiesis	    [	 -38     	  24     	⟩	           282429536481	/	274877906944           	        46.920¢	3M	3M
mediumDiesis	    [	 -122    	  77     	⟩	  5.474401089420219e+36	/	5.316911983139664e+36  	        50.535¢	c3M	77e3M
mediumDiesis	    [	 279     	 -176    	⟩	  9.713344461128645e+83	/	9.404610869860048e+83  	        55.920¢	sc3M	176e3M
mediumDiesis	    [	 -206    	 130     	⟩	 1.0611166119964724e+62	/	1.0284403483257538e+62 	        54.150¢	hc3M	130e3M
mediumDiesis	    [	 363     	 -229    	⟩	1.8788340662190666e+109	/	1.822918828994312e+109 	        52.305¢	uc3M	229e3M
mediumDiesis	    [	 447     	 -282    	⟩	3.6341936214780345e+134	/	3.5334083494636332e+134	        48.690¢	5c3M	282e3M
mediumDiesis	    [	 -523    	 330     	⟩	2.8184741597483694e+157	/	2.745919064052244e+157 	        45.150¢	6c3M	330e3M
mediumDiesis	    [	 -607    	 383     	⟩	 5.463117704641067e+182	/	5.311379928167671e+182 	        48.765¢	7c3M	383e3M
mediumDiesis	    [	 -691    	 436     	⟩	1.0589295258050997e+208	/	1.0273702932711667e+208	        52.380¢	8c3M	436e3M
mediumDiesis	    [	 -775    	 489     	⟩	2.0525491143440157e+233	/	1.9872231581449074e+233	        55.995¢	9c3M	489e3M
mediumDiesis	    [	 848     	 -535    	⟩	 1.876879207201175e+255	/	1.8191615787978557e+255	        54.075¢	10c3M	535e3M
mediumDiesis	    [	 932     	 -588    	⟩	3.6304123742133376e+280	/	3.5261255791043484e+280	        50.459¢	11c3M	588e3M
mediumDiesis	    [	 1016    	 -641    	⟩	 7.022238808055922e+305	/	6.834775835487006e+305 	        46.844¢	12c3M	641e3M
mediumDiesis	    [	-1092    	 689     	⟩	       (too big for JS)	/	(too big for JS)       	        46.996¢	13c3M	689e3M
mediumDiesis	    [	-1176    	 742     	⟩	       (too big for JS)	/	(too big for JS)       	        50.611¢	14c3M	742e3M
mediumDiesis	    [	-1260    	 795     	⟩	       (too big for JS)	/	(too big for JS)       	        54.226¢	15c3M	795e3M
mediumDiesis	    [	 1333    	 -841    	⟩	       (too big for JS)	/	(too big for JS)       	        55.844¢	16c3M	841e3M
mediumDiesis	    [	 1417    	 -894    	⟩	       (too big for JS)	/	(too big for JS)       	        52.229¢	17c3M	894e3M
mediumDiesis	    [	 1501    	 -947    	⟩	       (too big for JS)	/	(too big for JS)       	        48.614¢	18c3M	947e3M
mediumDiesis	    [	-1577    	 995     	⟩	       (too big for JS)	/	(too big for JS)       	        45.226¢	19c3M	995e3M
mediumDiesis	    [	-1661    	 1048    	⟩	       (too big for JS)	/	(too big for JS)       	        48.841¢	20c3M	1048e3M
mediumDiesis	    [	-1745    	 1101    	⟩	       (too big for JS)	/	(too big for JS)       	        52.456¢	21c3M	1101e3M
mediumDiesis	    [	-1829    	 1154    	⟩	       (too big for JS)	/	(too big for JS)       	        56.071¢	22c3M	1154e3M
mediumDiesis	    [	 1902    	-1200    	⟩	       (too big for JS)	/	(too big for JS)       	        53.999¢	23c3M	1200e3M
mediumDiesis	    [	 1986    	-1253    	⟩	       (too big for JS)	/	(too big for JS)       	        50.384¢	24c3M	1253e3M
mediumDiesis	    [	 2070    	-1306    	⟩	       (too big for JS)	/	(too big for JS)       	        46.769¢	25c3M	1306e3M
